"","country","snu1","ageasentered","fiscal_year","qtr2","qtr4","cumulative"
"1","Botswana","Kweneng District","10-14","2022",1,NA,NA
"2","Botswana","Kweneng District","20-24","2022",3,NA,NA
"3","Botswana","Kweneng District","25-29","2022",2,NA,NA
"4","Botswana","South East District","10-14","2020",1,NA,NA
"5","Botswana","South East District","20-24","2022",1,NA,NA
"6","Botswana","Southern","10-14","2022",2,NA,NA
"7","Kenya","Homa Bay County","20-24","2022",731,NA,NA
"8","Kenya","Homa Bay County","25-29","2020",1,NA,NA
"9","Kenya","Homa Bay County","25-29","2022",5,NA,NA
"10","Kenya","Kiambu County","25-29","2021",2,NA,NA
"11","Kenya","Kisumu County","10-14","2021",2043,NA,NA
"12","Kenya","Kisumu County","10-14","2022",2384,NA,NA
"13","Kenya","Kisumu County","15-19","2021",870,NA,NA
"14","Kenya","Kisumu County","20-24","2021",53,NA,NA
"15","Kenya","Kisumu County","20-24","2022",581,NA,NA
"16","Kenya","Kisumu County","25-29","2022",7,NA,NA
"17","Kenya","Mombasa County","25-29","2020",1,NA,NA
"18","Kenya","Mombasa County","25-29","2021",1,NA,NA
"19","Kenya","Siaya County","10-14","2021",1778,NA,NA
"20","Kenya","Siaya County","20-24","2021",38,NA,NA
"21","Kenya","Siaya County","25-29","2021",1,NA,NA
"22","Lesotho","Berea","10-14","2020",3,NA,NA
"23","Lesotho","Berea","10-14","2021",307,NA,NA
"24","Lesotho","Berea","10-14","2022",45,NA,NA
"25","Lesotho","Berea","15-19","2020",44,NA,NA
"26","Lesotho","Mafeteng","10-14","2021",413,NA,NA
"27","Lesotho","Mafeteng","10-14","2022",57,NA,NA
"28","Lesotho","Mafeteng","15-19","2021",203,NA,NA
"29","Lesotho","Mafeteng","15-19","2022",22,NA,NA
"30","Lesotho","Mafeteng","20-24","2021",49,NA,NA
"31","Lesotho","Mafeteng","20-24","2022",12,NA,NA
"32","Lesotho","Mafeteng","25-29","2022",1,NA,NA
"33","Lesotho","Maseru","10-14","2020",3,NA,NA
"34","Lesotho","Maseru","10-14","2022",10,NA,NA
"35","Lesotho","Maseru","15-19","2020",64,NA,NA
"36","Lesotho","Maseru","25-29","2022",1,NA,NA
"37","Lesotho","Mohale's Hoek","10-14","2021",381,NA,NA
"38","Lesotho","Mohale's Hoek","10-14","2022",7,NA,NA
"39","Lesotho","Mohale's Hoek","15-19","2021",229,NA,NA
"40","Lesotho","Mohale's Hoek","15-19","2022",34,NA,NA
"41","Lesotho","Mohale's Hoek","20-24","2021",114,NA,NA
"42","Lesotho","Mohale's Hoek","20-24","2022",10,NA,NA
"43","Zimbabwe","Bulawayo","10-14","2020",74,NA,NA
"44","Zimbabwe","Bulawayo","25-29","2022",1,NA,NA
"45","Zimbabwe","Manicaland","10-14","2020",9083,NA,NA
"46","Zimbabwe","Manicaland","10-14","2022",133,NA,NA
"47","Zimbabwe","Manicaland","15-19","2022",1,NA,NA
"48","Zimbabwe","Manicaland","20-24","2022",3,NA,NA
"49","Zimbabwe","Manicaland","25-29","2020",2,NA,NA
"50","Zimbabwe","Manicaland","25-29","2022",2,NA,NA
"51","Zimbabwe","Mashonaland Central","10-14","2020",67,NA,NA
"52","Zimbabwe","Matabeleland North","10-14","2021",2,NA,NA
"53","Zimbabwe","Matabeleland North","10-14","2022",1261,NA,NA
"54","Zimbabwe","Matabeleland North","15-19","2021",5,NA,NA
"55","Zimbabwe","Matabeleland North","15-19","2022",1,NA,NA
"56","Zimbabwe","Matabeleland North","20-24","2021",1,NA,NA
"57","Zimbabwe","Matabeleland North","20-24","2022",5,NA,NA
"58","Zimbabwe","Matabeleland North","25-29","2022",6,NA,NA
"59","Zimbabwe","Matabeleland South","10-14","2021",1,NA,NA
"60","Zimbabwe","Matabeleland South","15-19","2021",1,NA,NA
"61","Zimbabwe","Matabeleland South","20-24","2021",2,NA,NA
"62","Zimbabwe","Matabeleland South","20-24","2022",1,NA,NA
"63","Zimbabwe","Matabeleland South","25-29","2021",1,NA,NA
"64","Zimbabwe","Matabeleland South","25-29","2022",16,NA,NA
"65","Zimbabwe","Midlands","10-14","2020",179,NA,NA
